# Mask name, center:
0246m3             2:46:33.55   -8:27:10.4  2000.0 PA=-20.00 ##

#  Guider center:    2:46:35.85   -8:25:09.2

# Selected Objects:

0246_egal4815    02:46:17.070 -08:20:21.793 2000.0 23.94 r  824 1 1 -45
0246_egal4840    02:46:22.828 -08:19:27.541 2000.0 23.58 r  799 1 1 10
0246_psgal0772   02:46:21.314 -08:24:41.511 2000.0 22.66 i 1985 1 1 0
0246_psgal2442   02:46:33.236 -08:32:16.390 2000.0 22.27 i 1945 1 1 0
0246_psgal2609   02:46:32.925 -08:32:31.779 2000.0 23.01 i 1927 1 1 0
0246_psgal2677   02:46:38.831 -08:32:32.340 2000.0 21.70 i 3920 1 1 0
0246_psgal2774   02:46:41.640 -08:32:31.845 2000.0 20.77 i 3906 1 1 0
0246_psgal3107   02:46:47.151 -08:32:27.127 2000.0 22.20 i 1859 1 1 0
0246_psgal3256   02:46:44.198 -08:32:56.287 2000.0 21.76 i 3832 1 1 0
0246_psgal3393   02:46:46.306 -08:32:57.697 2000.0 20.77 i 3809 1 1 0
0246_psgal3683   02:46:39.585 -08:33:51.924 2000.0 21.22 i 3754 1 1 0
0246_psgal3714   02:46:28.528 -08:33:54.535 2000.0 19.10 i 3748 1 1 0
0246_psgal3734   02:46:43.211 -08:33:43.912 2000.0 20.77 i 3743 1 1 0
0246_psgal3859   02:46:47.605 -08:33:31.722 2000.0 21.86 i 3715 1 1 0
0246_psgal4126   02:46:40.333 -08:34:23.016 2000.0 20.86 i 3655 1 1 0
0246_psgal4299   02:46:42.277 -08:34:29.592 2000.0 21.58 i 3618 1 1 0
0246_psgal4473   02:46:46.437 -08:34:23.393 2000.0 20.69 i 3577 1 1 0
0246_psgal4798   02:46:42.194 -08:35:05.148 2000.0 23.47 i 1491 1 1 0

# Selected Guide Stars:

# S0014        2:46:32.04  -8:23:54.1 16.39_r  TV(x,y)=   76.3  387.8 ##
# S0028        2:46:40.18  -8:23:38.4 17.27_r  TV(x,y)=  213.1  960.3 ##

# Non-Selected Objects:

0246_egal0712    02:46:25.353 -08:26:55.599 2000.0 23.69 r 4385 1 0 9
