# Mask name, center:
0246m1             2:46:35.15   -8:23:22.9  2000.0 PA=-20.00 ##

#  Guider center:    2:46:37.45   -8:21:21.7

# Selected Objects:

0246_egal4598    02:46:31.170 -08:19:07.377 2000.0 23.73 r 1071 1 1 -37
0246_egal4652    02:46:22.016 -08:19:45.689 2000.0 23.91 r 1005 1 1 10
0246_egal5038    02:46:18.715 -08:19:43.783 2000.0 23.05 r  579 1 1 -50
0246_egal5343    02:46:16.718 -08:19:19.994 2000.0 23.79 r  258 1 1 0
0246_psgal0648   02:46:32.242 -08:22:42.769 2000.0 22.45 i 1989 1 1 0
0246_psgal2660   02:46:25.345 -08:18:56.282 2000.0 22.17 i 1922 1 1 0
0246_psgal2829   02:46:27.301 -08:18:34.581 2000.0 21.96 i 3900 1 1 0
0246_psgal3093   02:46:23.698 -08:18:30.636 2000.0 23.40 i 1863 1 1 0
0246_psgal3347   02:46:25.944 -08:17:58.495 2000.0 21.13 i 3815 1 1 0
0246_psgal3613   02:46:29.861 -08:17:23.368 2000.0 22.32 i 1768 1 1 0
0246_psgal3845   02:46:14.559 -08:18:30.934 2000.0 23.42 i 1718 1 1 0
0246_psgal3967   02:46:25.237 -08:17:09.763 2000.0 22.86 i 1690 1 1 0
0246_psgal4022   02:46:31.070 -08:16:50.515 2000.0 20.75 i 3677 1 1 0
0246_psgal4356   02:46:16.676 -08:17:29.377 2000.0 22.46 i 1603 1 1 0
0246_psgal4497   02:46:24.342 -08:16:35.718 2000.0 22.02 i 1571 1 1 0
0246_psgal4684   02:46:25.947 -08:16:14.797 2000.0 22.45 i 1524 1 1 0
0246_psgal4868   02:46:25.804 -08:16:03.158 2000.0 20.41 i 3473 1 1 0
0246_psgal4961   02:46:19.436 -08:16:26.742 2000.0 20.91 i 3450 1 1 0
0246_psgal5279   02:46:20.308 -08:15:59.395 2000.0 21.98 i 3374 1 1 0
0246_psgal5299   02:46:28.201 -08:15:28.713 2000.0 23.32 i 1369 1 1 0

# Selected Guide Stars:

# S0084        2:46:35.81  -8:21:28.9 16.03_r  TV(x,y)=  502.7  390.0 ##
# S0102        2:46:45.08  -8:21:52.1 16.31_r  TV(x,y)=  847.9  969.9 ##
# S0113        2:46:38.09  -8:20:56.0 15.51_r  TV(x,y)=  413.7  601.5 ##
# S0176        2:46:39.75  -8:19:55.6 16.65_r  TV(x,y)=  182.0  815.9 ##

# Non-Selected Objects:

Lens             02:46:34.111 -08:25:36.190 2000.0 15.00 i   -1 1 0
